FID,FID_Buildi,osm_id,name,type,startX,startY,endX,endY
2437,1,23413845.000000000000000, ,school,-0.339600000000000,39.469738100000001,-0.339775600000000,39.469789499999997
2438,204,1240815115.000000000000000, , ,-0.339549600000000,39.469840400000002,-0.339600000000000,39.469738100000001
2439,204,1240815115.000000000000000, , ,-0.339600000000000,39.469738100000001,-0.339775600000000,39.469789499999997
2440,205,1240815122.000000000000000, , ,-0.339549600000000,39.469840400000002,-0.339600000000000,39.469738100000001
2441,205,1240815122.000000000000000, , ,-0.339600000000000,39.469738100000001,-0.339775600000000,39.469789499999997
2442,206,1240815123.000000000000000, , ,-0.339549600000000,39.469840400000002,-0.339600000000000,39.469738100000001
2443,206,1240815123.000000000000000, , ,-0.339600000000000,39.469738100000001,-0.339775600000000,39.469789499999997
2444,1,23413845.000000000000000, ,school,-0.340582400000000,39.469850200000003,-0.340624600000000,39.469763800000003
2445,1,23413845.000000000000000, ,school,-0.340624600000000,39.469763800000003,-0.340825800000000,39.469822399999998
2446,203,1240815112.000000000000000, ,roof,-0.340582400000000,39.469850200000003,-0.340624600000000,39.469763800000003
2447,203,1240815112.000000000000000, ,roof,-0.340624600000000,39.469763800000003,-0.340825800000000,39.469822399999998
2448,204,1240815115.000000000000000, , ,-0.340582400000000,39.469850200000003,-0.340624600000000,39.469763800000003
2449,204,1240815115.000000000000000, , ,-0.340624600000000,39.469763800000003,-0.340825800000000,39.469822399999998
2450,204,1240815115.000000000000000, , ,-0.340825800000000,39.469822399999998,-0.340783700000000,39.469908699999998
2451,1,23413845.000000000000000, ,school,-0.340783700000000,39.469908699999998,-0.340582400000000,39.469850200000003
2452,203,1240815112.000000000000000, ,roof,-0.340783700000000,39.469908699999998,-0.340582400000000,39.469850200000003
2453,204,1240815115.000000000000000, , ,-0.340783700000000,39.469908699999998,-0.340582400000000,39.469850200000003
2454,205,1240815122.000000000000000, , ,-0.339884600000000,39.469821600000003,-0.339835000000000,39.469923899999998
